id,evaluation
23207098,white
33225864,black
24017235,equal
19716795,black
10621512,black
31912985,white
25445919,white
31014431,equal
15018661,equal
20026345,equal
28415946,equal
33686956,white
29066416,white
16082352,black
37086786,black
29527061,black
15035842,equal
28167934,equal
36808354,white
22402938,equal
1424026,equal
23085864,equal
1965582,equal
33425878,white
6210837,equal
24523391,equal
10601127,equal
29595333,equal
5035922,black
10335742,equal
6916763,black
1164078,equal
34197243,white
12231005,black
29850946,white
13199594,white
23030269,white
12702965,white
36987851,white
24691860,white
16125155,black
24386142,black
7008405,white
12614846,white
14833028,black
32156441,black
3244426,black
16170689,black
17366802,equal
37001411,black
18313811,black
29707465,white
29690403,equal
11252948,black
13334370,equal
8224667,equal
36979105,white
27944027,white
34043393,equal
2290429,black
1342499,white
16644633,equal
15147886,white
17749809,white
28320926,equal
17503871,white
21586070,white
6310369,black
2851385,white
32980069,white
17744881,white
12455117,black
4215336,black
13354938,equal
34647625,equal
1982885,black
6249761,white
7185785,white
4520733,equal
34098390,equal
670057,white
4907943,black
4141620,equal
12153857,equal
24410951,white
19125647,white
31701831,equal
22860443,black
26114463,white
19024281,white
33676453,black
27488319,white
1690252,white
21495442,equal
3691135,white
10370979,black
12852974,white
34591751,equal
8262845,equal
11526339,black
11256058,black
23681398,black
3368182,white
14523256,equal
9921457,white
4519607,white
34442974,equal
2144480,black
22456886,black
8681021,equal
1356978,white
26916186,white
24475349,equal
12923867,black
25096277,white
29066076,black
11745187,white
30026792,black
20826235,black
8857185,white
17638209,equal
21041202,white
16694190,white
24913180,black
20406995,black
17454081,equal
6234011,equal
34578884,black
13528030,white
21780725,white
6140615,equal
27075,black
20763987,black
32762798,black
14187128,black
11911874,black
28456814,equal
13635016,white
33962283,white
31894074,black
34560410,black
27112925,equal
35486682,white
24055037,white
544070,black
31775604,white
4711394,equal
19379197,black
15366358,equal
27124784,white
31155019,equal
18744777,equal
18899020,black
29058475,black
33432319,equal
14600514,black
11952114,equal
5783830,white
34290729,white
16250804,black
4055140,black
15156141,white
27430003,black
31266181,white
25071599,black
21753837,white
21007225,white
11478030,black
4170199,equal
22335403,equal
14214329,white
27665799,white
15526878,equal
2702688,white
5136144,white
29624520,white
1136702,equal
15716112,equal
13485112,black
4731537,white
1533058,black
140553,equal
36800444,black
12953505,black
29629424,white
2238169,black
18293794,white
17984988,white
11380071,equal
4707279,black
2346912,equal
34179917,black
32789589,black
12156987,white
4959720,white
26536821,black
28875933,white
17020544,black
15143470,white
27934525,equal
1154919,white
10962225,black
21265417,black
13285495,white
24545194,black
18720296,white
27326071,black
34792521,white
22047852,black
18805601,equal
33601878,equal
1230314,white
11594605,black
8988920,black
27121171,equal
16460750,white
29865550,white
21394407,black
6626534,white
4707049,white
19744325,white
6634175,equal
30206680,white
23615496,equal
34448397,white
30708620,equal
11816744,black
33548211,equal
12902589,equal
11416832,equal
10810091,black
29101778,white
21594659,equal
32164931,equal
28413820,white
26533717,black
8294198,black
34462734,black
13185066,equal
11144386,equal
23736189,white
31489377,equal
22108100,equal
7405465,white
31662546,black
26096639,black
3565646,white
13537530,white
16174640,white
36333336,black
4485765,black
36147486,white
29751744,white
35062659,white
337492,equal
32147755,black
37040751,equal
9810919,black
33382035,white
35367766,equal
17990189,black
8866040,white
20600253,black
9403341,white
7996676,white
18353651,black
26151006,white
10059674,black
7889597,white
14430498,white
33279968,black
31412805,black
28340679,black
35802966,equal
29596199,white
32188168,white
13523782,black
36247779,black
29597552,white
8243155,equal
14448311,equal
23639688,black
19926362,equal
2851405,equal
20647946,black
3408977,black
16233852,white
10674673,black
32893744,white
15872906,black
2531402,white
12173207,black
18727063,equal
7067548,equal
17179525,white
1820318,black
32514607,white
27104709,black
6314785,equal
3024840,white
24978447,white
21185209,white
29919483,black
13789243,white
12448723,equal
3716400,black
33833342,black
16521564,equal
26737559,black
26523459,black
27426919,equal
15828168,equal
34422915,black
15181962,white
23277398,equal
17884351,equal
30883998,black
15961456,black
9592330,white
36651536,white
7634356,white
2153648,black
17979205,black
20107194,white
34851272,black
21056252,white
2234115,black
19783711,white
14219874,white
15890938,black
28161234,white
32294774,white
19111832,white
9153957,white
15465200,white
2750820,equal
28570190,equal
22290137,white
24522316,white
25956254,equal
11127907,white
4706059,white
5742250,black
16578255,black
7166340,white
25894453,black
14935436,equal
34023783,black
24014743,black
26231843,white
14432929,white
6435200,white
2276743,white
21620457,equal
35216445,white
26130999,black
1288667,white
15374282,black
12708468,equal
23234608,equal
22499522,equal
36510348,white
25040766,black
33097999,white
3818014,equal
25016987,white
13385816,white
33143326,white
24802305,white
11790333,black
12597143,black
6436454,equal
2403720,equal
10033583,equal
25400072,white
28427529,white
2168623,black
2617193,white
5865426,equal
31324494,white
2013024,equal
21653704,black
1262769,black
28509579,equal
11201704,equal
19285254,equal
21265103,equal
13553025,white
4672123,equal
9350010,white
9732545,white
15198770,white
28151287,equal
21727689,black
34779983,black
35188864,black
12450419,black
7158800,black
4548336,black
5130709,white
1388336,black
11538671,equal
1192700,black
1952939,equal
17010225,white
26834517,white
35115092,black
32325655,white
6213551,equal
36984266,black
23645548,equal
10633875,black
22475988,white
18986398,black
18075900,white
28599032,white
24013247,white
21927053,equal
9702909,black
258963,black
31453462,black
14536316,white
17598978,white
25005077,equal
21376805,white
6634399,equal
1397601,equal
8651323,black
18797090,white
32177353,equal
217653,equal
23077144,black
35656453,black
12889097,white
18375879,equal
33523160,black
26356874,white
11819164,white
25313469,black
13329092,equal
8000134,equal
29438010,white
20706337,equal
10345570,black
26236381,equal
12044554,white
31133044,black
16179791,equal
31499096,equal
15037057,black
8676405,white
24674333,equal
34284381,black
3162883,white
29471755,equal
17894949,equal
17132180,white
7204230,equal
20640492,white
26564532,black
1578970,black
9141114,equal
30280429,black
4649891,black
28025591,equal
14861582,equal
33055300,equal
29967525,white
12708945,equal
15100750,white
9711961,white
767199,black
1991441,black
14226234,equal
22887682,equal
13376454,black
7736636,white
1546478,black
1075463,white
17065917,white
10009678,black
36503074,white
29182221,black
24333489,equal
12459228,white
24000592,white
36354925,equal
19652150,white
22175878,black
5519877,equal
6343518,equal
16454625,equal
18266608,white
2191639,equal
14945848,black
6715837,black
11167407,white
4076891,equal
9184101,black
18311380,equal
2940529,black
2259033,equal
21981765,white
6755067,black
31345202,black
16749227,white
24812714,white
27341159,black
12609670,white
2951880,equal
5789595,equal
35559327,black
33348403,black
31972307,white
27072855,white
167112,black
19576365,white
14391345,white
8467870,equal
34725357,white
26547524,black
25885562,white
8958668,black
27571297,black
5962640,white
26553609,black
19573162,equal
6446801,equal
14220081,black
4025340,white
26099920,white
33473615,black
22106594,black
12898609,black
5160094,equal
10065980,white
22995826,white
28695582,white
17444870,black
1232617,black
21473985,black
11017102,equal
29007315,equal
18799653,black
3962013,equal
26751798,white
16759166,black
10180742,equal
24346787,equal
15037305,white
4607753,equal
36440299,white
27791920,black
30132732,white
19356716,white
14654933,white
29567848,equal
4783936,white
30742377,white
1844397,equal
9680584,black
2769097,equal
2437903,equal
17611057,equal
21413451,black
4293342,white
20149864,black
28367267,white
36749911,white
22102161,black
33019731,black
18187262,white
30683493,white
21905878,white
20797055,equal
8621656,black
26543009,black
14812689,black
14349397,black
30902343,equal
19065960,equal
9538931,black
18885554,black
36932421,black
7702994,black
36037015,equal
35238171,white
32280072,white
31125533,white
31781144,equal
24797405,black
22088473,equal
6755866,black
14032822,black
31168616,white
31798999,black
22022129,white
7154094,equal
29982430,equal
9265935,black
12424633,white
37052115,black
19365067,equal
10546199,equal
16392103,black
22291130,equal
10520589,white
19004164,white
21467728,white
20360903,white
9042548,equal
8673220,white
28687061,black
20516963,white
9372380,black
27280154,equal
3009363,white
22547261,black
31448086,equal
14153042,white
28253414,black
5619431,equal
22666507,equal
33350050,white
15910651,equal
34298938,white
32784045,white
30071737,white
19044024,equal
15237197,black
1013291,white
32885364,equal
21845686,white
