id,evaluation
26065374,equal
32481096,black
36997677,white
34417938,black
28905181,black
34520149,white
9988237,equal
29195565,black
25046055,equal
21749716,black
18462141,white
3400313,black
19027351,equal
30755068,white
15076830,white
15135079,black
29498814,black
19659456,black
14052140,white
18285861,equal
3411397,equal
9498074,equal
29612756,black
3676193,equal
24112155,equal
4334567,equal
20732691,equal
25710909,black
5450157,equal
31111386,black
1533851,equal
32391432,black
175123,equal
24571064,black
12414809,white
26778878,black
7749140,equal
33329222,white
15506249,white
275795,equal
20567535,black
7178011,white
29540043,black
27472404,equal
34790799,white
32806398,white
4929684,white
27185128,black
20117654,white
9629723,equal
20269355,equal
11899452,black
812186,black
19373319,white
28582862,white
37036866,black
11651211,black
6666695,white
26853062,equal
21020924,black
24608275,white
26455982,black
25590019,black
3639524,white
8164311,equal
3557266,equal
18744171,black
28347959,equal
18936732,black
6489920,black
5338348,black
34670785,black
7770968,black
21230575,white
26783029,equal
8563592,equal
16695405,equal
23032100,black
2104271,black
16103393,black
14865191,white
29495407,equal
23001956,equal
23763996,black
35664539,white
24028048,equal
4768116,black
18123723,equal
35656123,black
15152864,equal
32135878,equal
24529309,equal
19626084,white
20856206,white
154686,equal
19548009,white
29890242,equal
14068080,equal
34448860,equal
22243400,white
26126415,black
32395841,equal
35249100,equal
19174049,black
29552588,black
8743077,black
32429259,equal
35000770,white
35617360,black
19033920,black
36995282,equal
14940447,equal
14480643,white
909696,equal
11362944,white
33370039,equal
32530442,black
18849756,equal
16620402,white
30013787,black
26437397,white
30591753,black
3452681,black
28812180,black
36089257,black
31988533,black
23565349,equal
18610674,white
10029304,white
32142956,white
25009683,equal
6466926,white
21299087,white
35108259,equal
31634720,black
28068964,black
3573740,white
5450330,black
7175986,black
349277,black
21828807,black
28179379,equal
34916202,black
34867734,black
7163424,black
22500638,equal
14136266,black
13504745,white
34868060,white
24886650,equal
4349601,black
32573085,equal
33344006,black
11380915,black
792365,white
9445616,white
11031821,equal
2844689,equal
25437962,equal
19751000,white
3569778,equal
7443789,equal
33181361,black
15575026,black
33876391,equal
29081353,white
32830132,equal
36198801,white
19706710,equal
2466977,black
27704773,equal
22353571,white
32681115,black
35675076,black
11712628,white
8728409,black
10496131,black
16204097,black
19266434,black
25194537,equal
338787,equal
26100510,equal
4678040,equal
11531639,white
16191142,black
35519054,black
8733758,equal
36139474,equal
25041874,black
12826094,white
5243928,black
6171789,black
27007196,black
5982573,equal
222218,black
20569206,equal
4354888,white
2415373,equal
23816406,equal
27977735,equal
32646962,white
15881280,equal
29982752,white
10815072,black
32689509,white
982304,equal
14028501,black
34098698,white
28473364,black
14277312,equal
11144734,black
4360401,black
383807,black
31742947,equal
9248698,equal
14755114,white
16768903,white
2518945,black
31530790,black
